ax,ay,az,gx,gy,gz,class_label
0.040748,-0.047336,1.006988,-0.735,-0.035,-0.35,0
0.0427,-0.050996,1.008696,-0.7525,-0.0175,-0.2975,0
0.041724,-0.050996,1.009428,-0.7,-0.1575,-0.2975,0
0.040992,-0.049776,1.008696,-0.6475,-0.175,-0.2275,0
0.038064,-0.051972,1.008208,-0.595,-0.175,-0.35,0
0.0427,-0.05002,1.00772,-0.805,-0.105,-0.315,0
0.04392,-0.049288,1.007232,-0.7525,0,-0.35,0
0.045384,-0.049044,1.007476,-0.84,-0.0875,-0.3325,0
0.040016,-0.04636,1.00894,-0.84,-0.28,-0.315,0
0.040016,-0.048068,1.00528,-0.77,-0.2275,-0.315,0
0.042456,-0.049044,1.005524,-0.735,-0.105,-0.2975,0
0.042212,-0.050752,1.005768,-0.665,-0.07,-0.245,0
0.04148,-0.050752,1.005768,-0.63,-0.105,-0.2975,0
0.04148,-0.050752,1.005524,-0.665,-0.175,-0.315,0
0.041236,-0.053436,1.005768,-0.6125,-0.175,-0.2625,0
0.043188,-0.051728,1.005524,-0.6825,-0.0875,-0.315,0
0.042456,-0.052948,1.00772,-0.5425,-0.1575,-0.245,0
0.043188,-0.05124,1.009428,-0.595,-0.175,-0.2275,0
0.042456,-0.051972,1.006988,-0.5775,-0.105,-0.28,0
0.044652,-0.051728,1.006988,-0.6475,-0.0175,-0.21,0
0.045628,-0.052948,1.008208,-0.6125,-0.07,-0.28,0
0.042456,-0.050508,1.009672,-0.56,-0.245,-0.28,0
0.039528,-0.052704,1.008208,-0.7525,-0.315,-0.2625,0
0.040992,-0.0488,1.006012,-0.84,-0.035,-0.35,0
0.044408,-0.048312,1.006012,-0.8575,0.0525,-0.2975,0
0.045384,-0.048312,1.008208,-0.665,0.0175,-0.2275,0
0.040992,-0.049288,1.008452,-0.56,-0.2975,-0.28,0
0.041724,-0.048556,1.006988,-0.7,-0.2275,-0.315,0
0.043188,-0.050996,1.00528,-0.6825,-0.1225,-0.2975,0
0.044164,-0.048068,1.0065,-0.6825,0,-0.2975,0
0.040504,-0.050264,1.004304,-0.665,-0.0525,-0.315,0
0.04026,-0.049532,1.004548,-0.5075,-0.0875,-0.245,0
0.040748,-0.051484,1.005036,-0.5075,-0.1575,-0.2625,0
0.040992,-0.051728,1.006256,-0.6125,-0.175,-0.2975,0
0.042456,-0.051728,1.004304,-0.665,-0.1575,-0.2625,0
0.041236,-0.049532,1.006256,-0.7875,-0.0875,-0.315,0
0.041968,-0.052216,1.007964,-0.56,-0.14,-0.315,0
0.040992,-0.048312,1.008696,-0.7175,-0.035,-0.315,0
0.040016,-0.0488,1.007964,-0.595,-0.1225,-0.245,0
0.041968,-0.049776,1.009184,-0.805,-0.245,-0.2625,0
0.04148,-0.049288,1.008452,-0.805,-0.28,-0.245,0
0.043676,-0.05124,1.00528,-0.805,-0.0525,-0.315,0
0.04392,-0.049776,1.005768,-0.6475,-0.0525,-0.3675,0
0.044896,-0.050264,1.007476,-0.7525,-0.0525,-0.3325,0
0.040504,-0.047336,1.005768,-0.77,-0.2275,-0.28,0
0.039284,-0.046848,1.004792,-0.63,-0.175,-0.3325,0
0.041968,-0.052948,1.007476,-0.5075,-0.2275,-0.2975,0
0.04148,-0.052704,1.006744,-0.6475,-0.1225,-0.2625,0
0.039528,-0.049044,1.006256,-0.5775,-0.14,-0.245,0
0.041968,-0.05002,1.007232,-0.7525,-0.0175,-0.35,0
0.041724,-0.049532,1.007476,-0.7,-0.0875,-0.2275,0
0.040992,-0.05002,1.007964,-0.77,-0.14,-0.1925,0
0.040992,-0.051728,1.007476,-0.6475,-0.1575,-0.3325,0
0.042212,-0.051972,1.007964,-0.7,-0.14,-0.2275,0
0.043676,-0.049288,1.006256,-0.7525,-0.14,-0.2275,0
0.042944,-0.048312,1.005768,-0.63,-0.14,-0.28,0
0.041968,-0.050996,1.008208,-0.5775,-0.0875,-0.315,0
0.039528,-0.050264,1.007232,-0.595,-0.0175,-0.3325,0
0.041236,-0.047092,1.007476,-0.525,-0.105,-0.2625,0
0.040016,-0.052704,1.007232,-0.6475,-0.14,-0.2275,0
0.040504,-0.048068,1.004792,-0.595,-0.07,-0.315,0
0.043676,-0.051728,1.005036,-0.6475,0.0525,-0.2625,0
0.045872,-0.050996,1.009184,-0.5075,-0.0175,-0.245,0
0.042456,-0.05002,1.00772,-0.6125,-0.1925,-0.2275,0
0.039772,-0.051972,1.007964,-0.6825,-0.245,-0.2275,0
0.042212,-0.050508,1.006256,-0.63,-0.07,-0.315,0
0.040504,-0.0488,1.007964,-0.7,0.14,-0.21,0
0.041968,-0.04758,1.008696,-0.665,-0.0175,-0.2975,0
0.043188,-0.047824,1.009428,-0.665,-0.1575,-0.1925,0
0.040992,-0.053192,1.007964,-0.805,-0.245,-0.3325,0
0.040016,-0.049776,1.007232,-0.665,-0.0875,-0.2625,0
0.043676,-0.047092,1.009184,-0.945,-0.175,-0.315,0
0.04026,-0.049044,1.008208,-0.7175,-0.105,-0.2625,0
0.04148,-0.049044,1.006744,-0.8925,-0.14,-0.2975,0
0.042944,-0.049044,1.007476,-0.735,-0.0525,-0.3325,0
0.044164,-0.051728,1.00528,-0.665,-0.0875,-0.2975,0
0.040992,-0.047336,1.00406,-0.665,-0.07,-0.2625,0
0.039284,-0.052948,1.008696,-0.63,-0.175,-0.3325,0
0.043432,-0.048068,1.0065,-0.6825,-0.035,-0.28,0
0.040992,-0.045872,1.00528,-0.7175,-0.1225,-0.3675,0
0.043676,-0.05002,1.005036,-0.5775,0.0175,-0.3325,0
0.041968,-0.050996,1.004792,-0.665,-0.1225,-0.28,0
0.041968,-0.051972,1.00406,-0.455,-0.21,-0.21,0
0.040016,-0.051728,1.006988,-0.7175,-0.1925,-0.2975,0
0.040504,-0.052704,1.007232,-0.4025,-0.105,-0.175,0
0.042212,-0.051728,1.006012,-0.7,0.035,-0.385,0
0.041968,-0.05002,1.01016,-0.7175,-0.07,-0.245,0
0.040504,-0.049288,1.007232,-0.7525,-0.07,-0.28,0
0.040992,-0.048068,1.009916,-0.735,-0.175,-0.3325,0
0.040016,-0.048068,1.008208,-0.84,-0.1225,-0.315,0
0.044164,-0.052704,1.008452,-0.7525,-0.07,-0.315,0
0.042944,-0.049044,1.009428,-0.7525,-0.0875,-0.315,0
0.03904,-0.049776,1.006988,-0.6125,-0.07,-0.28,0
0.041724,-0.048556,1.005524,-0.665,-0.1225,-0.2975,0
0.042212,-0.052948,1.00772,-0.63,-0.0875,-0.35,0
0.041968,-0.050996,1.0065,-0.595,-0.14,-0.2625,0
0.038308,-0.048556,1.005036,-0.6125,-0.07,-0.3325,0
0.039772,-0.05124,1.004304,-0.6475,0,-0.28,0
0.042456,-0.050264,1.0065,-0.595,0.0175,-0.3325,0
0.04148,-0.050752,1.006256,-0.42,-0.1925,-0.1575,0
0.041724,-0.052948,1.007476,-0.56,-0.1925,-0.2625,0
0.039772,-0.051972,1.00772,-0.665,-0.1575,-0.245,0
0.044652,-0.049532,1.006256,-0.6825,-0.1225,-0.35,0
0.042212,-0.050996,1.007232,-0.595,-0.0525,-0.3325,0
0.0427,-0.050508,1.00772,-0.56,-0.0875,-0.245,0
0.039772,-0.051972,1.0065,-0.5775,-0.2625,-0.21,0
0.03904,-0.052948,1.0065,-0.7525,-0.2625,-0.35,0
0.040504,-0.05124,1.007476,-0.665,-0.0175,-0.2975,0
0.041236,-0.051484,1.00772,-0.735,0.035,-0.315,0
0.042212,-0.045872,1.005768,-0.735,-0.035,-0.315,0
0.042212,-0.049776,1.008452,-0.6125,-0.14,-0.2975,0
0.042944,-0.049532,1.007476,-0.6125,0,-0.315,0
0.04148,-0.051972,1.006988,-0.63,-0.105,-0.245,0
0.043676,-0.051728,1.007232,-0.525,-0.0875,-0.2975,0
0.04148,-0.05124,1.008452,-0.56,-0.1575,-0.28,0
0.04026,-0.049288,1.008696,-0.8225,-0.2275,-0.3325,0
0.04148,-0.051728,1.008696,-0.595,-0.1225,-0.2625,0
0.040748,-0.05124,1.007476,-0.7,-0.07,-0.35,0
0.040504,-0.051484,1.009672,-0.6475,-0.14,-0.28,0
0.039284,-0.049776,1.007232,-0.735,-0.2275,-0.315,0
0.039528,-0.0488,1.00894,-0.735,-0.1225,-0.2625,0
0.04148,-0.050752,1.006256,-0.6825,-0.07,-0.2625,0
0.043676,-0.049776,1.0065,-0.805,0.0175,-0.2975,0
0.043188,-0.048312,1.004792,-0.6825,-0.14,-0.2275,0
0.042944,-0.0488,1.007964,-0.56,-0.14,-0.28,0
0.038064,-0.051728,1.007476,-0.665,-0.2625,-0.35,0
0.040016,-0.049532,1.00528,-0.5775,-0.175,-0.245,0
0.038308,-0.052216,1.004792,-0.6125,0.07,-0.2975,0
0.04514,-0.050752,1.00406,-0.5075,0.07,-0.2975,0
0.04392,-0.05368,1.007476,-0.595,-0.07,-0.28,0
0.042944,-0.05124,1.008208,-0.6125,-0.1225,-0.2275,0
0.041968,-0.050996,1.01016,-0.7175,-0.245,-0.28,0
0.0427,-0.050508,1.007232,-0.595,-0.245,-0.1925,0
0.03782,-0.051484,1.00772,-0.875,-0.175,-0.315,0
0.04148,-0.05246,1.008696,-0.7525,-0.0175,-0.3325,0
0.042456,-0.049532,1.006988,-0.8225,-0.0525,-0.315,0
0.041968,-0.048068,1.0065,-0.7525,-0.0525,-0.2975,0
0.044164,-0.050752,1.0065,-0.7525,-0.14,-0.315,0
0.040748,-0.049532,1.00772,-0.595,-0.1225,-0.245,0
0.040504,-0.049288,1.005036,-0.7175,-0.0875,-0.3675,0
0.04392,-0.048068,1.002596,-0.7,0.0525,-0.28,0
0.045872,-0.050508,1.005768,-0.6475,-0.0525,-0.385,0
0.039528,-0.050264,1.007476,-0.49,-0.175,-0.1925,0
0.040016,-0.050508,1.003572,-0.63,-0.1925,-0.2625,0
0.04026,-0.050752,1.006988,-0.7,-0.14,-0.245,0
0.042456,-0.049288,1.003816,-0.63,-0.035,-0.315,0
0.043188,-0.049532,1.005524,-0.6125,0,-0.245,0
0.041236,-0.051484,1.006256,-0.6825,-0.1225,-0.315,0
0.038552,-0.051484,1.005524,-0.665,-0.245,-0.2625,0
0.041968,-0.049776,1.00528,-0.6825,-0.1225,-0.2625,0
0.03904,-0.051972,1.006012,-0.735,-0.1575,-0.2975,0
0.041968,-0.050752,1.005036,-0.7,-0.1225,-0.315,0
0.04392,-0.049776,1.007476,-0.7175,-0.1575,-0.245,0
0.039528,-0.049776,1.008208,-0.7175,-0.14,-0.2975,0
0.044164,-0.048556,1.009672,-0.7175,-0.105,-0.28,0
0.041968,-0.050508,1.00772,-0.63,-0.1575,-0.3675,0
0.04148,-0.047824,1.006256,-0.665,-0.1575,-0.245,0
0.040016,-0.049288,1.006988,-0.6825,-0.105,-0.315,0
0.043676,-0.050752,1.006012,-0.665,0.035,-0.28,0
0.044896,-0.048068,1.004548,-0.735,-0.105,-0.3325,0
0.042944,-0.049044,1.008452,-0.5775,-0.21,-0.2275,0
0.04148,-0.050996,1.006012,-0.6825,-0.245,-0.28,0
0.04026,-0.052216,1.006012,-0.6125,-0.1225,-0.245,0
0.044896,-0.050264,1.005524,-0.8225,-0.0175,-0.315,0
0.041968,-0.050996,1.009184,-0.665,-0.07,-0.35,0
0.044164,-0.048068,1.006744,-0.7,-0.1575,-0.245,0
0.040992,-0.052948,1.005524,-0.6125,-0.2625,-0.175,0
0.040016,-0.050752,1.008696,-0.63,-0.175,-0.2275,0
0.0427,-0.052948,1.008208,-0.5775,-0.0175,-0.2975,0
0.04148,-0.049044,1.0065,-0.7,0,-0.2975,0
0.039772,-0.05002,1.007476,-0.63,0,-0.28,0
0.041724,-0.049288,1.005524,-0.7,-0.1575,-0.245,0
0.040992,-0.051728,1.008696,-0.7525,-0.1925,-0.28,0
0.04148,-0.050508,1.007232,-0.77,-0.1575,-0.3325,0
0.040992,-0.049532,1.00772,-0.7175,-0.1575,-0.3325,0
0.042944,-0.049044,1.007232,-0.7525,-0.0875,-0.28,0
0.040016,-0.051484,1.005768,-0.735,-0.1925,-0.2625,0
0.041724,-0.05124,1.004792,-0.77,-0.0175,-0.4025,0
0.044896,-0.051972,1.00772,-0.6475,0,-0.3325,0
0.044896,-0.05246,1.007964,-0.6825,-0.105,-0.2975,0
0.040748,-0.051728,1.0065,-0.7175,-0.175,-0.315,0
0.042944,-0.049532,1.00772,-0.7525,-0.1225,-0.245,0
0.042212,-0.048556,1.008208,-0.7875,0,-0.245,0
0.044164,-0.049044,1.007476,-0.7,-0.035,-0.35,0
0.0427,-0.046848,1.011136,-0.805,-0.1225,-0.35,0
0.040504,-0.048312,1.006744,-0.6475,-0.14,-0.2975,0
0.041968,-0.049044,1.00528,-0.7175,-0.14,-0.2625,0
0.04148,-0.051484,1.006988,-0.595,-0.1225,-0.2975,0
0.040992,-0.051484,1.008452,-0.63,-0.0525,-0.2975,0
0.04026,-0.051728,1.006012,-0.6125,-0.105,-0.315,0
0.040016,-0.05124,1.004548,-0.63,-0.105,-0.2625,0
0.041968,-0.050752,1.002596,-0.49,-0.035,-0.315,0
0.042212,-0.052704,1.005768,-0.5425,-0.0525,-0.3675,0
0.041236,-0.05368,1.00772,-0.42,-0.1575,-0.2625,0
0.040748,-0.052704,1.00528,-0.595,-0.14,-0.2625,0
0.040504,-0.050752,1.005524,-0.5775,-0.0525,-0.315,0
0.041968,-0.049776,1.005768,-0.6825,0.0525,-0.315,0
0.043432,-0.05002,1.009428,-0.49,-0.105,-0.1925,0
0.040992,-0.050508,1.008696,-0.7,-0.2275,-0.2275,0
0.038552,-0.05368,1.006012,-0.6825,-0.1925,-0.2275,0
0.04148,-0.051484,1.00528,-0.7,-0.21,-0.245,0
0.039528,-0.052216,1.00772,-0.7,-0.0875,-0.21,0
0.04148,-0.050508,1.005036,-0.63,0,-0.245,0
0.042944,-0.051728,1.006256,-0.5775,-0.175,-0.28,0
0.04148,-0.049288,1.00772,-0.6125,-0.105,-0.1925,0
0.041236,-0.052704,1.00772,-0.6825,-0.1575,-0.2625,0
0.039772,-0.048312,1.006256,-0.77,-0.105,-0.2275,0
0.041724,-0.053192,1.007232,-0.665,-0.175,-0.28,0
0.044408,-0.047824,1.00528,-0.735,-0.14,-0.2275,0
0.043432,-0.050752,1.009916,-0.875,-0.245,-0.28,0
0.041236,-0.05002,1.00528,-0.77,-0.1225,-0.315,0
0.044164,-0.051972,1.008696,-0.7875,-0.105,-0.315,0
0.043188,-0.048556,1.006256,-0.7175,-0.07,-0.2625,0
0.042212,-0.05002,1.009672,-0.595,-0.2625,-0.21,0
0.038796,-0.055144,1.006744,-0.8225,-0.2625,-0.245,0
0.040748,-0.051972,1.006988,-0.8225,-0.175,-0.2275,0
0.042944,-0.0488,1.005036,-0.8225,0.0525,-0.3675,0
0.046604,-0.050508,1.008696,-0.6825,-0.035,-0.2975,0
0.040016,-0.047824,1.007232,-0.735,-0.105,-0.2975,0
0.04026,-0.050996,1.007476,-0.63,-0.2625,-0.245,0
0.041236,-0.05002,1.006256,-0.7,-0.105,-0.3325,0
0.040504,-0.049776,1.00528,-0.63,-0.0875,-0.245,0
0.043188,-0.048312,1.007232,-0.7175,0.0175,-0.28,0
0.042212,-0.050996,1.006744,-0.665,-0.1225,-0.245,0
0.04392,-0.050264,1.004548,-0.7,-0.105,-0.2975,0
0.038064,-0.050996,1.007232,-0.63,-0.1575,-0.2275,0
0.040504,-0.049776,1.0065,-0.6125,-0.0525,-0.315,0
0.041236,-0.051972,1.00772,-0.5775,-0.105,-0.3325,0
0.04148,-0.050508,1.00528,-0.5775,-0.1575,-0.28,0
0.046116,-0.050996,1.00528,-0.6825,-0.0875,-0.1575,0
0.040504,-0.050508,1.006744,-0.6825,-0.0525,-0.2625,0
