ax,ay,az,gx,gy,gz,class_label
-0.1891,0.297436,0.215452,-0.91,14.42,1.4875,1
-0.01586,0.077592,0.343796,-10.2025,12.95,-2.0125,1
0.162992,0.235704,0.196664,-26.425,13.405,-5.2675,1
0.127368,-0.023912,1.262212,-25.515,-9.38,-6.4575,1
0.171288,-0.27694,1.16754,-21.3675,-10.4125,-3.99,1
0.213988,-0.4331,1.520608,19.18,-13.37,1.68,1
0.087352,-0.246928,1.674572,14.035,-8.5225,3.36,1
0.088084,-0.153964,1.574776,24.4825,-6.79,2.52,1
0.031476,-0.046604,1.429352,11.1125,-4.41,3.92,1
-0.127612,-0.037332,0.363804,18.6725,14.5425,3.9375,1
-0.209352,0.30744,0.40626,4.48,14,3.3425,1
-0.128344,0.317444,0.249856,-23.38,15.715,-4.8825,1
0.120536,0.307196,0.664168,-35.035,14.5775,-7.035,1
0.05124,0.233996,0.674172,-23.94,-0.77,-5.005,1
0.171532,-0.422608,0.891332,-5.565,-5.32,-1.785,1
0.246196,-0.289384,1.8056,9.5725,-5.6525,1.5575,1
0.188124,-0.435784,2.005436,1.365,-14.49,-0.7,1
-0.116144,-0.050264,0.81618,27.3,7.7175,6.86,1
-0.040016,0.104188,0.813252,22.8725,8.33,4.27,1
-0.16836,0.39894,0.670756,-16.905,10.5175,-1.715,1
-0.056608,0.146644,0.368928,-15.155,11.7425,-3.5875,1
-0.047092,0.01464,0.253516,-23.415,9.835,-3.8675,1
0.016592,-0.1464,0.471652,-12.1975,8.2425,-3.4475,1
0.268888,-0.066124,1.666032,-21.7525,6.1425,-3.745,1
0.200324,-0.24522,1.647732,-6.44,-15.2075,-2.555,1
0.294508,-0.29158,1.850252,13.51,-16.485,2.9575,1
0.027816,0.088084,1.254648,33.005,-1.26,5.88,1
-0.085888,-0.065636,1.243668,3.85,-0.21,0.945,1
-0.1769,0.188124,0.22936,7.21,14.49,3.4125,1
-0.031232,0.135908,0.349652,-4.3925,13.9125,-0.8925,1
-0.172996,0.314516,0.189832,-27.0375,14.525,-5.6175,1
0.115412,0.054412,1.053592,-28.945,-6.1075,-6.8425,1
0.166896,-0.27816,0.952576,-24.92,-7.49,-4.725,1
0.166408,-0.429928,1.314916,12.635,-10.9375,0.2625,1
0.132736,-0.075396,1.770952,10.885,-11.1125,2.52,1
0.13664,-0.209352,1.737768,29.6975,-9.52,6.0375,1
-0.164212,-0.056852,0.669292,15.82,10.9725,4.935,1
-0.1403,0.377712,0.51972,25.025,12.8975,5.18,1
-0.185684,0.310368,0.495076,-28.84,13.2475,-5.2675,1
0.002928,0.377712,0.336964,-21.035,8.085,-4.6375,1
0.03782,-0.205204,0.51484,-33.32,3.8675,-6.3875,1
0.035136,-0.209108,0.499712,-3.5875,3.36,-0.4725,1
0.315004,-0.325984,1.988112,-12.7225,-17.4475,-3.2025,1
0.254736,-0.158112,1.780468,4.0425,-15.925,0.63,1
0.244976,-0.369416,2.04594,24.0625,-16.345,3.6225,1
-0.056364,-0.122488,0.9638,29.96,-14.4025,6.58,1
-0.041236,-0.294264,0.985516,22.9425,5.215,4.1125,1
-0.12322,0.33184,0.795928,-10.0975,8.155,0.1225,1
-0.050508,0.072712,0.319884,-9.7825,8.855,-2.3275,1
-0.10248,0.42822,0.214476,-17.1675,12.0925,-2.17,1
-0.046604,-0.0183,0.42578,-17.745,11.0075,-4.4275,1
-0.03416,-0.215208,0.76128,18.6725,8.4,3.57,1
-0.155184,0.439932,0.624884,27.8075,10.955,7.665,1
-0.034404,0.154208,0.445788,-18.76,10.4125,-4.305,1
-0.049044,0.037576,0.258396,-24.6225,9.73,-3.9725,1
0.222772,-0.179584,0.542656,-14.2275,6.9825,-4.4275,1
0.258152,-0.06344,1.623088,-18.1475,-15.015,-2.66,1
0.033428,-0.391376,1.42496,30.065,-15.6975,4.5325,1
-0.028548,-0.224236,1.399096,15.715,-3.4125,4.025,1
0.007808,0.0427,1.223904,16.415,-0.28,5.5825,1
-0.131516,0.036844,1.174616,0.385,1.1375,1.0675,1
-0.159576,0.15006,0.2135,7.175,15.61,2.7125,1
-0.117608,0.183244,0.315004,-33.9325,13.755,-0.8925,1
0.125172,0.283772,0.193492,-24.64,15.26,-4.935,1
0.173728,0.11956,1.097512,-33.39,-8.3125,-7.1575,1
0.170556,-0.28914,1.015284,9.2925,-8.7675,-3.885,1
0.183488,-0.467748,1.375916,10.2725,-12.6525,0.1225,1
0.13298,-0.293288,1.705804,16.7125,-10.7625,2.9575,1
0.141276,-0.252052,1.776076,25.935,-9.765,1.3825,1
-0.169336,0.010736,1.524756,18.305,-6.895,5.8975,1
-0.127856,-0.193736,0.524356,20.2125,12.8275,3.675,1
-0.18788,0.376248,0.43432,12.6,13.51,5.39,1
-0.105164,0.2867,0.395036,-21.4725,14.7,-4.865,1
0.039528,0.397476,0.468724,-32.6025,3.7975,-6.4575,1
