ax,ay,az,gx,gy,gz,class_label
-0.170068,-0.118096,1.702876,21.3675,-24.8325,1.0325,3
-0.06466,-0.145668,0.786656,24.5175,-21.07,-6.44,3
-0.242048,0.314516,0.737612,-21.945,12.705,-0.14,3
0.271816,0.3416,0.445056,-31.885,9.415,-6.685,3
0.299144,0.31354,0.49898,-27.1775,24.885,0.105,3
0.30134,-0.056364,0.543388,-20.3,15.33,-0.525,3
0.068808,-0.220332,1.424228,-5.8275,19.005,7.63,3
0.076372,-0.186172,1.511336,-10.9725,-19.985,0.1225,3
-0.035624,-0.489952,1.513044,38.5175,-18.095,4.5675,3
-0.244244,-0.531432,1.341756,29.33,-23.2575,-1.12,3
-0.247904,0.182512,1.128744,4.76,-5.7225,-4.375,3
0.017812,0.233996,0.460428,-12.005,-12.6875,-5.67,3
0.19886,0.28914,0.384788,-4.1125,28.2625,-3.85,3
0.079788,0.14396,0.426512,-33.8975,17.885,1.2075,3
0.252784,0.170556,1.02114,-28.0875,27.86,-1.4525,3
0.215696,0.04392,1.256112,-29.3825,-2.7475,2.765,3
0.171776,-0.488976,1.163148,17.99,-5.81,-0.945,3
-0.30744,-0.48434,1.528904,23.66,-9.2925,8.2425,3
-0.159088,-0.50752,1.479372,25.0775,-23.73,-1.82,3
-0.352092,-0.051972,1.41764,20.2475,-13.8775,1.3475,3
-0.027572,0.01098,0.582184,4.795,-19.9675,-7.245,3
0.01098,0.085644,0.477752,10.3425,23.2925,0.2275,3
0.054412,0.326228,0.472628,-38.36,13.755,-7.7,3
0.367708,0.19398,0.776896,-25.3925,27.965,1.855,3
0.284016,0.282064,0.866444,-39.48,4.6025,-3.78,3
0.342088,-0.335012,0.962092,9.8875,9.1,3.2725,3
-0.064416,-0.470188,1.027728,7.42,-1.435,3.605,3
-0.19398,-0.44408,1.504992,19.67,-22.12,5.845,3
0.096136,0.14274,0.337696,-27.3175,29.5925,3.7275,3
0.291092,0.24522,0.993568,-37.975,20.1775,-3.325,3
