ax,ay,az,gx,gy,gz,class_label
-0.100528,0.255712,0.874984,10.325,8.4875,3.3075,2
-0.1525,0.116388,1.031632,-25.76,7.315,-7.14,2
-0.122,-0.16592,0.554612,0.77,5.53,-4.7775,2
0.293776,-0.374296,0.64172,-0.07,4.9175,-0.7525,2
0.279136,-0.248148,1.08458,6.86,-11.1125,0.42,2
0.098088,-0.19886,1.375916,19.88,-9.695,4.7425,2
0.041968,-0.05246,1.299544,16.3275,-3.7975,5.565,2
0.063928,0.136396,1.309304,-3.7975,0.98,4.41,2
-0.251808,0.3172,0.7808,-18.0775,-1.085,-3.0275,2
-0.190564,0.159332,0.63928,-9.275,11.655,-2.0825,2
-0.26596,-0.050264,0.684176,-20.44,7.49,-4.6725,2
0.045872,-0.088084,0.592432,-5.6,11.34,-2.905,2
0.153964,-0.13664,0.830332,-15.5225,-4.7425,-4.6375,2
0.112728,-0.292556,0.765184,23.345,-3.9725,-1.6275,2
0.263276,-0.315004,1.001376,10.9375,-7.98,3.08,2
0.2013,-0.2318,1.318088,25.5325,-8.4175,5.5125,2
0.186416,0.010492,1.555988,1.4,-6.825,3.535,2
-0.1769,0.225212,1.284904,1.5925,-6.02,2.5725,2
-0.102236,0.070028,0.939644,-4.095,10.5175,-0.525,2
-0.226432,0.258396,0.83448,-3.885,6.9475,1.0675,2
-0.038552,-0.049532,0.826916,-16.1875,11.3225,-5.075,2
-0.059292,0.17812,0.589992,-23.0825,0.6825,-6.195,2
0.01586,-0.36722,0.695888,-13.0025,3.92,-4.62,2
0.00732,-0.33916,0.63196,3.7625,-2.5725,1.12,2
0.290116,-0.37332,1.34932,18.8825,-9.4325,3.115,2
0.321592,-0.057096,1.529392,7.035,-11.8475,2.38,2
0.264252,-0.0244,1.402268,20.2475,-8.54,5.845,2
-0.024644,0.006344,1.231956,1.5225,4.1825,1.645,2
-0.069784,0.318908,0.983808,15.3475,5.635,5.1275,2
-0.075884,0.11956,1.115324,-22.9425,6.7375,-6.3,2
-0.179584,0.282552,0.53558,-17.955,6.7375,-4.6025,2
-0.0793,-0.321836,0.64294,-24.0625,7.6125,-6.8075,2
-0.125416,-0.158356,0.548512,-1.54,4.9,-1.4,2
0.284504,-0.376004,1.247572,2.8525,5.32,-0.1925,2
0.289872,-0.24034,1.126792,4.865,-11.585,0.1225,2
0.338184,-0.183244,1.421544,21.7,-9.3975,5.25,2
0.048068,-0.061244,1.341512,13.5975,-12.2675,5.3025,2
0.05612,-0.15616,1.2505,19.9675,0.9975,4.8475,2
-0.00976,0.292312,1.276608,-19.1625,-0.6475,-3.78,2
-0.204228,0.172752,0.626592,-7.9625,4.2,-1.8375,2
-0.239852,0.31598,0.673196,-23.1525,8.0675,-5.11,2
-0.185928,-0.059292,0.582428,-5.6525,10.8325,-2.975,2
0.159088,-0.1769,0.870592,-14.7,7.21,-4.55,2
0.11712,-0.1525,0.742248,0.4025,-4.83,-1.61,2
0.23424,-0.323544,1.025776,12.32,-7.4375,-3.15,2
0.193248,-0.212036,0.898164,23.7125,-7.63,5.4425,2
0.18056,-0.256932,1.552816,12.81,-6.2825,3.7275,2
0.12566,0.23302,1.276852,-0.7525,-6.5275,6.1075,2
-0.107116,0.063196,1.486936,-2.7825,-3.675,-0.1925,2
-0.235216,0.287188,0.874984,-6.2475,6.93,0.595,2
-0.147864,-0.0183,0.803492,-15.47,11.7425,-1.6625,2
-0.048312,0.159088,0.752252,-23.8875,7.455,-6.44,2
-0.007076,-0.35014,0.680272,15.505,3.64,2.065,2
0.352092,-0.346968,1.491816,2.7825,-1.995,0.91,2
0.296704,-0.358924,1.314428,19.39,-9.625,3.1325,2
0.325252,-0.088816,1.554036,6.79,-11.725,2.0125,2
-0.026108,0.000244,1.3664,19.53,-9.03,5.9675,2
-0.012688,-0.020984,1.240984,2.2575,4.8475,1.6975,2
-0.0793,0.339648,0.989176,-17.29,5.0575,5.075,2
-0.108824,0.086132,1.116788,-20.9825,7.14,-5.915,2
-0.191296,0.311588,0.546072,-19.18,6.0725,-4.795,2
