accel_x,accel_y,accel_z,label
-0.011964,-9.978071,-0.258425,0
-0.010768,-9.982857,-0.329013,0
0.008375,-9.98166,-0.273978,0
0.010768,-10.002,-0.396012,0
-0.023928,-9.973285,-0.311067,0
-0.099302,-9.980463,-0.311067,0
-0.004786,-9.903893,-0.264407,0
0.001196,-9.994821,-0.283549,0
-0.034696,-9.985249,-0.27996,0
0.002393,-9.956535,-0.302692,0
0.025125,-9.979266,-0.270389,0
-0.04666,-9.969696,-0.293121,0
0.019143,-10.04028,-0.306281,0
-0.023928,-10.02353,-0.303888,0
-0.01675,-10.00559,-0.315853,0
-0.014357,-9.955338,-0.300299,0
-0.031107,-10.002,-0.290728,0
-0.026321,-10.03311,-0.348156,0
-0.049053,-9.985249,-0.283549,0
-0.007178,-10.07259,-0.311067,0
0,-9.940982,-0.285942,0
0.069392,-9.957731,-0.367298,0
-0.058624,-10.00918,-0.301496,0
0.032303,-10.04986,-0.252443,0
-0.017946,-10.01037,-0.346959,0
0.019143,-9.982857,-0.301496,0
0.019143,-10.00798,-0.312263,0
0.031107,-9.952947,-0.315853,0
-0.015553,-9.957731,-0.265603,0
0.010768,-9.994821,-0.291924,0
0.055035,-10.01277,-0.342174,0
-0.047856,-10.01875,-0.285942,0
-0.062213,-10.03311,-0.321835,0
-0.008375,-9.988838,-0.331406,0
0.047856,-10.00798,-0.283549,0
0.037089,-9.909875,-0.302692,0
0.008375,-9.997213,-0.270389,0
-0.020339,-9.939785,-0.319442,0
0.020339,-10.07139,-0.262014,0
0.003589,-9.984053,-0.302692,0
-0.004786,-9.976874,-0.312263,0
-0.06341,-9.974482,-0.327817,0
0.015553,-10.00439,-0.290728,0
-0.043071,-10.00559,-0.306281,0
0.025125,-9.998409,-0.314656,0
0.022732,-10.00798,-0.315853,0
-0.004786,-10.01994,-0.267996,0
-0.010768,-10.06302,-0.314656,0
0.001196,-10.01157,-0.287139,0
0.007178,-9.990034,-0.277567,0
-0.017946,-9.974482,-0.278764,0
0.005982,-9.946964,-0.217747,0
0,-9.968499,-0.324227,0
-0.022732,-9.954143,-0.276371,0
-0.040678,-10.01396,-0.303888,0
0.004786,-10.00798,-0.329013,0
0.025125,-10.05703,-0.288335,0
-0.0335,-9.988838,-0.305085,0
0.017946,-10.02832,-0.329013,0
0.021535,-10.03789,-0.305085,0
-0.020339,-9.94816,-0.306281,0
-0.041874,-9.956535,-0.36012,0
0.008375,-9.973285,-0.269193,0
-0.034696,-10.01516,-0.294317,0
-0.041874,-9.945767,-0.2668,0
-0.011964,-9.933803,-0.32662,0
0.014357,-9.878769,-0.339781,0
0.004786,-9.908679,-0.357727,0
-0.032303,-10.00439,-0.293121,0
-0.039482,-9.903893,-0.32662,0
0.049053,-9.979266,-0.381655,0
-0.010768,-9.992428,-0.319442,0
-0.032303,-10.01755,-0.257228,0
-0.047856,-9.973285,-0.308674,0
-0.0335,-9.909875,-0.241675,0
0.020339,-9.985249,-0.309871,0
0.010768,-9.933803,-0.248854,0
0.055035,-10.00918,-0.289532,0
-0.040678,-10.01755,-0.252443,0
-0.022732,-9.958928,-0.277567,0
-0.04666,-9.909875,-0.294317,0
-0.055035,-10.03789,-0.265603,0
-0.022732,-10.04507,-0.333799,0
-0.031107,-9.978071,-0.287139,0
-0.007178,-10.03071,-0.283549,0
-0.013161,-10.01516,-0.319442,0
-0.055035,-9.91825,-0.367298,0
-0.034696,-10.01277,-0.331406,0
-0.017946,-9.932607,-0.319442,0
-0.022732,-9.930214,-0.327817,0
0.051446,-9.961321,-0.269193,0
0.035892,-10.01037,-0.305085,0
0.040678,-9.943375,-0.309871,0
0.009571,-9.994821,-0.303888,0
-0.009571,-9.961321,-0.267996,0
0.025125,-9.969696,-0.27996,0
-0.004786,-10.03669,-0.271585,0
-0.014357,-9.975677,-0.345763,0
0.050249,-9.952947,-0.295514,0
-0.013161,-9.969696,-0.272782,0
-0.089731,-9.984053,-0.305085,0
-0.039482,-9.924232,-0.339781,0
0,-10.00918,-0.256032,0
-0.051446,-10.002,-0.302692,0
-0.005982,-10.00678,-0.283549,0
0.021535,-10.0032,-0.27996,0
-0.023928,-9.958928,-0.329013,0
0.025125,-9.990034,-0.284746,0
0.019143,-9.917054,-0.283549,0
-0.062213,-9.960124,-0.287139,0
-0.077767,-9.942178,-0.282353,0
0.005982,-9.976874,-0.275175,0
-0.038285,-9.988838,-0.300299,0
0.004786,-9.92184,-0.287139,0
0.035892,-9.980463,-0.308674,0
0.01675,-10.0032,-0.331406,0
-0.017946,-9.952947,-0.291924,0
-0.077767,-10.01037,-0.314656,0
-0.002393,-9.997213,-0.281157,0
-0.028714,-10.05464,-0.297906,0
0.028714,-9.976874,-0.271585,0
-0.003589,-10.03071,-0.308674,0
-0.0335,-9.939785,-0.303888,0
0.022732,-10.01875,-0.32662,0
-0.019143,-9.946964,-0.276371,0
-0.014357,-10.00559,-0.325424,0
-0.021535,-9.920643,-0.264407,0
0.01675,-9.93141,-0.342174,0
-0.005982,-10.0355,-0.340977,0
0.055035,-10.01277,-0.252443,0
-0.047856,-9.970892,-0.285942,0
-0.082552,-9.973285,-0.348156,0
-0.025125,-9.945767,-0.294317,0
-0.047856,-10.00439,-0.300299,0
0.015553,-9.985249,-0.276371,0
-0.01675,-9.978071,-0.256032,0
0.020339,-10.05225,-0.293121,0
0.008375,-9.987641,-0.37328,0
-0.008375,-10.01396,-0.229711,0
0.0335,-9.973285,-0.272782,0
0.005982,-10.10011,-0.284746,0
-0.019143,-9.979266,-0.32662,0
-0.058624,-9.975677,-0.300299,0
-0.021535,-10.0343,-0.277567,0
-0.003589,-10.02114,-0.277567,0
-0.021535,-10.04627,-0.312263,0
-0.053839,-10.01396,-0.290728,0
-0.011964,-10.02952,-0.247657,0
0.058624,-9.972088,-0.300299,0
-0.019143,-9.968499,-0.276371,0
-0.004786,-9.954143,-0.252443,0
0.038285,-10.06541,-0.238086,0
-0.028714,-10.02952,-0.288335,0
0.038285,-9.93141,-0.284746,0
-0.025125,-9.973285,-0.293121,0
0.002393,-9.972088,-0.31346,0
-0.066999,-9.998409,-0.259621,0
0.013161,-10.00439,-0.29671,0
0.003589,-9.990034,-0.29671,0
-0.011964,-9.944571,-0.31346,0
-0.061017,-10.02353,-0.318245,0
-0.039482,-9.938589,-0.307478,0
-0.009571,-9.929018,-0.27996,0
0.020339,-9.991232,-0.265603,0
0.023928,-9.938589,-0.327817,0
0.065803,-10.0343,-0.375673,0
-0.031107,-9.968499,-0.317049,0
-0.047856,-10.04627,-0.283549,0
-0.025125,-9.952947,-0.293121,0
-0.055035,-9.970892,-0.315853,0
0.013161,-10.02952,-0.271585,0
0.051446,-9.993624,-0.348156,0
0.011964,-9.974482,-0.272782,0
-0.013161,-10.03071,-0.293121,0
-0.001196,-10.00559,-0.247657,0
0.009571,-9.961321,-0.321835,0
-0.005982,-10.0355,-0.295514,0
-0.102891,-10.0032,-0.275175,0
-0.009571,-9.944571,-0.315853,0
-0.050249,-9.987641,-0.228515,0
-0.055035,-9.926625,-0.294317,0
-0.059821,-9.994821,-0.333799,0
-0.071785,-10.00798,-0.331406,0
0.044267,-10.03311,-0.284746,0
0.045464,-9.985249,-0.320638,0
-0.122034,-10.00439,-0.356531,0
-0.001196,-9.911071,-0.350549,0
0.015553,-9.933803,-0.307478,0
0.015553,-9.942178,-0.273978,0
0.015553,-9.978071,-0.283549,0
0.005982,-10.03191,-0.269193,0
-0.058624,-9.952947,-0.275175,0
-0.044267,-9.980463,-0.252443,0
0.001196,-10.02114,-0.300299,0
-0.061017,-9.979266,-0.270389,0
-0.015553,-9.929018,-0.272782,0
0.070588,-10.01277,-0.321835,0
-0.028714,-10.00439,-0.252443,0
-0.028714,-9.973285,-0.293121,0
-0.002393,-9.952947,-0.276371,0
-0.055035,-10.01755,-0.329013,0
0.026321,-9.935,-0.259621,0
-0.007178,-9.982857,-0.32662,0
-0.002393,-9.881161,-0.334995,0
0.047856,-9.952947,-0.281157,0
0.055035,-9.966106,-0.287139,0
0.026321,-9.954143,-0.366102,0
0.100499,-10.00918,-0.309871,0
0.039482,-10.02234,-0.305085,0
0.003589,-9.997213,-0.242872,0
-0.028714,-9.940982,-0.256032,0
-0.009571,-9.975677,-0.334995,0
-0.020339,-9.976874,-0.285942,0
-0.019143,-9.98166,-0.293121,0
-0.026321,-9.972088,-0.31346,0
0.014357,-9.932607,-0.357727,0
-0.010768,-9.969696,-0.260818,0
-0.066999,-10.03191,-0.294317,0
-0.06341,-9.905089,-0.271585,0
0.019143,-10.00559,-0.262014,0
0.028714,-10.01037,-0.276371,0
-0.014357,-9.967302,-0.288335,0
0.050249,-9.925428,-0.27996,0
-0.031107,-9.974482,-0.32662,0
-0.059821,-9.962517,-0.339781,0
-0.038285,-10.01516,-0.272782,0
-0.020339,-10.00559,-0.351745,0
-0.007178,-9.991232,-0.276371,0
0.068195,-9.974482,-0.302692,0
0.04666,-10.01875,-0.252443,0
-0.001196,-9.978071,-0.283549,0
-0.038285,-9.915856,-0.269193,0
-0.013161,-9.923036,-0.309871,0
0.021535,-9.961321,-0.293121,0
-0.002393,-10.02832,-0.277567,0
-0.031107,-9.973285,-0.278764,0
-0.009571,-10.04028,-0.33021,0
-0.022732,-9.988838,-0.301496,0
-0.023928,-9.985249,-0.287139,0
0.0335,-9.970892,-0.303888,0
-0.01675,-9.957731,-0.337388,0
-0.025125,-9.95175,-0.355334,0
0.005982,-10.00559,-0.31346,0
-0.088534,-9.94816,-0.278764,0
-0.039482,-9.999606,-0.293121,0
-0.015553,-10.04148,-0.275175,0
0.045464,-10.01157,-0.340977,0
0.047856,-9.938589,-0.283549,0
-0.010768,-9.945767,-0.348156,0
-0.032303,-10.02114,-0.295514,0
0.007178,-9.972088,-0.275175,0
-0.058624,-9.966106,-0.257228,0
-0.002393,-9.961321,-0.284746,0
-0.023928,-9.991232,-0.283549,0
0.027517,-9.98166,-0.283549,0
-0.02991,-10.0032,-0.315853,0
-0.057428,-10.01994,-0.331406,0
0.051446,-9.974482,-0.276371,0
-0.071785,-9.968499,-0.293121,0
0.026321,-9.964911,-0.252443,0
-0.027517,-9.932607,-0.345763,0
0.050249,-10.01636,-0.269193,0
-0.059821,-9.996017,-0.284746,0
0.001196,-9.940982,-0.294317,0
-0.01675,-9.985249,-0.267996,0
-0.055035,-10.0355,-0.289532,0
-0.034696,-9.991232,-0.259621,0
-0.040678,-9.933803,-0.29671,0
-0.01675,-9.992428,-0.259621,0
-0.039482,-9.943375,-0.277567,0
0.010768,-9.946964,-0.317049,0
0.02991,-9.980463,-0.299103,0
-0.010768,-10.03909,-0.299103,0
0.031107,-10.0032,-0.319442,0
-0.07657,-10.03191,-0.327817,0
0.038285,-9.966106,-0.26321,0
-0.022732,-9.933803,-0.33021,0
0.022732,-9.943375,-0.354138,0
-0.01675,-10.07019,-0.27996,0
-0.066999,-9.926625,-0.267996,0
-0.056231,-9.988838,-0.302692,0
-0.032303,-9.980463,-0.291924,0
0.082552,-9.978071,-0.294317,0
-0.083749,-10.02593,-0.309871,0
0.002393,-10.04986,-0.31346,0
0.053839,-9.923036,-0.331406,0
0.044267,-9.944571,-0.321835,0
-0.02991,-9.978071,-0.260818,0
-0.023928,-9.98166,-0.254836,0
0.053839,-9.98166,-0.333799,0
-0.062213,-10.01994,-0.283549,0
0,-10.01755,-0.319442,0
0.002393,-9.961321,-0.285942,0
-0.083749,-9.905089,-0.29671,0
0.027517,-9.962517,-0.27996,0
-0.007178,-9.963714,-0.323031,0
-0.108873,-9.938589,-0.320638,0
-0.019143,-9.906286,-0.277567,0
0.014357,-10.01994,-0.351745,0
-0.010768,-9.954143,-0.27996,0
-0.045464,-9.992428,-0.287139,0
-0.001196,-9.966106,-0.262014,0
0.009571,-9.972088,-0.32662,0
-0.061017,-9.98166,-0.278764,0
-0.051446,-9.955338,-0.293121,0
-0.050249,-9.991232,-0.297906,0
0.017946,-9.960124,-0.314656,0
-0.032303,-9.972088,-0.309871,0
-0.039482,-9.958928,-0.202194,0
-0.040678,-9.927821,-0.202194,0
-0.032303,-9.949356,-0.260818,0
0.011964,-9.993624,-0.299103,0
-0.017946,-10.06541,-0.222532,0
-0.027517,-9.970892,-0.285942,0
-0.021535,-10.00559,-0.315853,0
-0.025125,-9.987641,-0.281157,0
-0.100499,-10.00678,-0.302692,0
0.008375,-9.973285,-0.244068,0
0.038285,-9.988838,-0.325424,0
-0.077767,-10.04746,-0.312263,0
-0.001196,-10.02593,-0.300299,0
-0.008375,-10.05225,-0.309871,0
0.02991,-9.945767,-0.318245,0
-0.050249,-9.955338,-0.282353,0
-0.013161,-9.975677,-0.230907,0
-0.002393,-9.972088,-0.257228,0
-0.06341,-9.870394,-0.305085,0
0.021535,-10.02473,-0.314656,0
-0.08016,-9.998409,-0.332602,0
0.027517,-10.01277,-0.312263,0
0.013161,-10.00798,-0.288335,0
-0.101695,-9.972088,-0.323031,0
0.002393,-9.985249,-0.327817,0
-0.037089,-9.966106,-0.320638,0
-0.056231,-10.02952,-0.306281,0
-0.037089,-9.938589,-0.325424,0
-0.069392,-10.05943,-0.254836,0
0.010768,-10.0008,-0.299103,0
-0.087338,-9.961321,-0.31346,0
-0.044267,-9.95175,-0.329013,0
0.008375,-9.936196,-0.314656,0
0.034696,-9.923036,-0.299103,0
0.002393,-10.01396,-0.33021,0
0.009571,-10.01636,-0.251246,0
-0.038285,-10.09053,-0.318245,0
0.001196,-9.960124,-0.265603,0
-0.044267,-9.970892,-0.331406,0
-0.038285,-10.01157,-0.290728,0
0.021535,-9.925428,-0.284746,0
-0.021535,-9.997213,-0.346959,0
-0.008375,-9.975677,-0.238086,0
0.094517,-9.993624,-0.284746,0
-0.020339,-10.0008,-0.309871,0
0.003589,-9.991232,-0.302692,0
-0.078963,-9.978071,-0.307478,0
0.051446,-10.05344,-0.289532,0
-0.064606,-9.919446,-0.336192,0
-0.064606,-9.968499,-0.31346,0
-0.064606,-9.940982,-0.29671,0
0.002393,-10.01875,-0.295514,0
-0.01675,-10.02353,-0.311067,0
0.040678,-9.972088,-0.276371,0
-0.01675,-10.01037,-0.342174,0
0.017946,-9.985249,-0.321835,0
0.005982,-9.88475,-0.275175,0
0.065803,-9.967302,-0.311067,0
0.043071,-10.02593,-0.323031,0
0.057428,-10.04148,-0.259621,0
0.011964,-10.05105,-0.31346,0
-0.014357,-10.00439,-0.33021,0
-0.009571,-9.993624,-0.2668,0
0.095713,-9.987641,-0.312263,0
-0.009571,-9.964911,-0.299103,0
-0.01675,-10.02832,-0.345763,0
-0.015553,-9.946964,-0.270389,0
0.034696,-9.973285,-0.285942,0
0.047856,-9.961321,-0.273978,0
0.057428,-9.985249,-0.332602,0
0.031107,-9.889536,-0.352941,0
-0.026321,-9.98166,-0.27996,0
-0.01675,-9.969696,-0.2668,0
-0.050249,-9.976874,-0.25005,0
0.013161,-9.982857,-0.299103,0
0.011964,-10.00678,-0.288335,0
-0.023928,-10.03789,-0.29671,0
0.019143,-9.970892,-0.264407,0
0.04666,-9.958928,-0.283549,0
-0.011964,-10.00439,-0.31346,0
0.015553,-9.963714,-0.295514,0
0.01675,-10.00678,-0.2668,0
-0.07657,-9.962517,-0.303888,0
0.070588,-10.00798,-0.246461,0
0.003589,-9.990034,-0.309871,0
-0.031107,-9.978071,-0.251246,0
-0.027517,-10.00559,-0.308674,0
0.028714,-9.969696,-0.291924,0
0.008375,-9.939785,-0.290728,0
0.004786,-9.968499,-0.300299,0
0.004786,-9.972088,-0.319442,0
-0.08016,-10.02593,-0.363709,0
-0.014357,-10.01755,-0.332602,0
0.017946,-9.992428,-0.302692,0
0.059821,-10.00439,-0.339781,0
-0.013161,-10.07737,-0.305085,0
0.010768,-9.993624,-0.258425,0
-0.041874,-9.978071,-0.278764,0
-0.045464,-10.01037,-0.314656,0
-0.027517,-10.02473,-0.34337,0
-0.017946,-10.07976,-0.303888,0
-0.04666,-9.913465,-0.264407,0
-0.058624,-10.00798,-0.307478,0
0.002393,-9.973285,-0.294317,0
0.070588,-9.98166,-0.2668,0
-0.039482,-9.960124,-0.31346,0
0.015553,-9.930214,-0.264407,0
0.014357,-9.970892,-0.2668,0
0,-10.02353,-0.190229,0
-0.035892,-10.002,-0.324227,0
0.056231,-9.943375,-0.32662,0
-0.039482,-9.95175,-0.287139,0
-0.052642,-9.975677,-0.308674,0
-0.053839,-9.946964,-0.283549,0
0.068195,-9.987641,-0.302692,0
0.07657,-9.950553,-0.29671,0
-0.07657,-10.01875,-0.29671,0
0.013161,-9.919446,-0.20339,0
-0.047856,-9.950553,-0.258425,0
-0.011964,-10.00798,-0.253639,0
0.021535,-9.966106,-0.260818,0
-0.09332,-9.964911,-0.318245,0
0.014357,-9.984053,-0.293121,0
-0.011964,-10.04387,-0.350549,0
0,-9.954143,-0.303888,0
-0.021535,-9.974482,-0.351745,0
-0.028714,-9.945767,-0.196211,0
-0.020339,-9.920643,-0.336192,0
0.015553,-9.980463,-0.284746,0
-0.075374,-9.992428,-0.317049,0
0.001196,-9.988838,-0.320638,0
0.017946,-9.976874,-0.258425,0
-0.028714,-10.05823,-0.287139,0
-0.005982,-9.944571,-0.29671,0
0.051446,-9.979266,-0.282353,0
-0.035892,-9.979266,-0.311067,0
-0.035892,-10.04866,-0.317049,0
-0.034696,-9.933803,-0.315853,0
0.01675,-9.964911,-0.321835,0
0.015553,-9.968499,-0.253639,0
-0.061017,-10.00678,-0.300299,0
-0.062213,-9.960124,-0.300299,0
-0.017946,-10.0343,-0.281157,0
-0.020339,-9.94816,-0.271585,0
-0.007178,-9.979266,-0.329013,0
-0.064606,-9.957731,-0.288335,0
-0.023928,-10.01994,-0.354138,0
0.019143,-9.984053,-0.303888,0
-0.031107,-9.969696,-0.294317,0
0.028714,-9.98166,-0.293121,0
-0.039482,-9.962517,-0.300299,0
0.003589,-9.996017,-0.320638,0
-0.01675,-9.955338,-0.36012,0
-0.0335,-9.986445,-0.259621,0
0.004786,-9.927821,-0.308674,0
0.049053,-9.945767,-0.372084,0
0.021535,-9.998409,-0.297906,0
0.052642,-9.979266,-0.303888,0
0.009571,-10.01755,-0.281157,0
0.08016,-10.01755,-0.285942,0
0.009571,-9.954143,-0.228515,0
-0.08016,-9.988838,-0.246461,0
0.032303,-9.944571,-0.287139,0
-0.044267,-10.01396,-0.325424,0
0.009571,-10.01875,-0.291924,0
-0.026321,-9.923036,-0.302692,0
0.003589,-9.920643,-0.299103,0
0.022732,-9.955338,-0.329013,0
-0.010768,-9.976874,-0.333799,0
-0.021535,-10.02952,-0.302692,0
-0.06341,-10.06661,-0.303888,0
0.040678,-9.984053,-0.294317,0
0.004786,-9.906286,-0.264407,0
-0.009571,-9.939785,-0.300299,0
0.026321,-9.932607,-0.329013,0
-0.015553,-10.01516,-0.238086,0
0.019143,-9.991232,-0.269193,0
0.015553,-9.960124,-0.269193,0
-0.008375,-10.00918,-0.308674,0
0.034696,-9.988838,-0.287139,0
-0.053839,-9.991232,-0.229711,0
0.010768,-9.933803,-0.230907,0
0.032303,-9.994821,-0.2668,0
0.041874,-9.972088,-0.284746,0
0.003589,-9.974482,-0.281157,0
-0.026321,-9.978071,-0.349352,0
-0.023928,-10.04746,-0.289532,0
-0.039482,-9.999606,-0.294317,0
-0.040678,-10.0032,-0.272782,0
-0.022732,-9.994821,-0.287139,0
-0.013161,-9.973285,-0.247657,0
-0.062213,-10.00918,-0.315853,0
0.028714,-9.984053,-0.288335,0
0.023928,-9.979266,-0.327817,0
-0.028714,-9.984053,-0.273978,0
-0.040678,-9.985249,-0.299103,0
-0.052642,-9.960124,-0.2668,0
0.078963,-10.01516,-0.307478,0
0.017946,-10.0008,-0.324227,0
-0.038285,-10.01875,-0.294317,0
0.040678,-10.02234,-0.273978,0
-0.0335,-9.938589,-0.294317,0
-0.071785,-10.04986,-0.2333,0
0.068195,-10.00439,-0.315853,0
-0.032303,-10.01037,-0.289532,0
-0.014357,-9.994821,-0.27996,0
-0.059821,-9.987641,-0.276371,0
-0.047856,-9.996017,-0.318245,0
0.001196,-10.01157,-0.26321,0
0.004786,-9.933803,-0.253639,0
-0.053839,-9.987641,-0.271585,0
-0.013161,-9.975677,-0.241675,0
-0.059821,-10.002,-0.276371,0
-0.008375,-9.955338,-0.350549,0
0.017946,-9.962517,-0.278764,0
0.0335,-10.04746,-0.351745,0
-0.026321,-9.974482,-0.291924,0
-0.035892,-9.993624,-0.293121,0
-0.022732,-9.949356,-0.2668,0
0.032303,-9.980463,-0.314656,0
-0.059821,-9.956535,-0.31346,0
-0.007178,-9.950553,-0.351745,0
-0.002393,-9.938589,-0.311067,0
-0.010768,-9.990034,-0.284746,0
-0.039482,-10.03789,-0.325424,0
-0.049053,-10.02473,-0.314656,0
0.072981,-9.968499,-0.284746,0
-0.001196,-10.03191,-0.282353,0
-0.02991,-10.01277,-0.289532,0
0.031107,-9.945767,-0.312263,0
-0.039482,-10.00798,-0.303888,0
0.011964,-9.980463,-0.307478,0
0.027517,-9.946964,-0.27996,0
0.049053,-9.95175,-0.331406,0
-0.039482,-10.01875,-0.285942,0
0,-9.932607,-0.269193,0
0.022732,-10.01875,-0.269193,0
-0.010768,-9.990034,-0.271585,0
-0.001196,-10.01994,-0.33021,0
-0.020339,-10.01157,-0.270389,0
-0.014357,-9.979266,-0.291924,0
-0.017946,-9.962517,-0.345763,0
0.043071,-9.926625,-0.285942,0
0.028714,-9.945767,-0.32662,0
0.009571,-10.01636,-0.293121,0
-0.052642,-9.93141,-0.312263,0
-0.0335,-10.0343,-0.265603,0
0.005982,-9.945767,-0.259621,0
0.001196,-9.936196,-0.348156,0
-0.040678,-9.970892,-0.270389,0
-0.002393,-10.01037,-0.265603,0
-0.013161,-10.03909,-0.278764,0
-0.020339,-9.933803,-0.352941,0
-0.075374,-10.00559,-0.333799,0
-0.010768,-10.002,-0.260818,0
0.021535,-9.975677,-0.278764,0
-0.020339,-9.933803,-0.264407,0
-0.077767,-9.944571,-0.285942,0
-0.089731,-10.0343,-0.244068,0
0.014357,-9.973285,-0.226122,0
-0.010768,-9.958928,-0.325424,0
0.021535,-9.982857,-0.293121,0
-0.025125,-9.938589,-0.270389,0
-0.028714,-9.94816,-0.272782,0
-0.019143,-9.966106,-0.238086,0
-0.035892,-9.986445,-0.271585,0
0.037089,-9.976874,-0.26321,0
-0.014357,-9.937392,-0.309871,0
0.053839,-9.968499,-0.259621,0
0.01675,-9.998409,-0.352941,0
-0.013161,-10.0008,-0.264407,0
-0.059821,-9.970892,-0.251246,0
0.019143,-9.955338,-0.323031,0
-0.028714,-10.04268,-0.256032,0
-0.034696,-9.957731,-0.270389,0
-0.087338,-9.987641,-0.337388,0
-0.023928,-10.01875,-0.333799,0
-0.031107,-9.999606,-0.305085,0
0.003589,-10.01157,-0.321835,0
-0.017946,-10.02353,-0.297906,0
-0.0335,-10.02712,-0.319442,0
-0.096909,-10.02473,-0.319442,0
-0.010768,-9.956535,-0.278764,0
0.013161,-10.01396,-0.375673,0
-0.056231,-9.963714,-0.284746,0
-0.005982,-9.986445,-0.229711,0
0.002393,-9.913465,-0.302692,0
-0.008375,-9.976874,-0.283549,0
-0.017946,-9.963714,-0.276371,0
0.0335,-9.980463,-0.290728,0
0.075374,-9.919446,-0.291924,0
0.095713,-9.974482,-0.308674,0
0.004786,-9.982857,-0.264407,0
0.007178,-9.973285,-0.247657,0
0.01675,-9.973285,-0.320638,0
0.0335,-10.00559,-0.295514,0
-0.004786,-10.02353,-0.257228,0
-0.02991,-9.988838,-0.301496,0
0.040678,-9.929018,-0.295514,0
-0.020339,-9.879965,-0.299103,0
0.020339,-9.994821,-0.278764,0
-0.013161,-9.936196,-0.319442,0
-0.026321,-9.957731,-0.301496,0
-0.041874,-9.912268,-0.289532,0
-0.001196,-9.91825,-0.291924,0
-0.02991,-9.957731,-0.273978,0
0.009571,-9.92184,-0.325424,0
0.059821,-9.932607,-0.281157,0
0.032303,-9.984053,-0.283549,0
-0.010768,-9.976874,-0.287139,0
-0.005982,-9.92184,-0.264407,0
