accel_x,accel_y,accel_z,label
-0.582652,-11.02373,1.545763,1
-0.465404,-9.986445,1.99681,1
-0.168694,-11.12184,-3.322434,1
0.267996,-10.07019,-3.87398,1
-1.167697,-8.926425,0.299103,1
1.083949,-8.242078,2.451447,1
-0.369691,-10.90409,-0.245264,1
-1.26341,-8.926425,-2.464607,1
-1.160519,-11.11705,-2.518446,1
0.2333,-9.903893,0.916451,1
-0.745364,-9.799805,2.079363,1
-1.049253,-10.92802,-0.611366,1
-0.756132,-10.20539,-1.080359,1
0.744168,-7.270591,1.473979,1
2.018346,-10.09053,0.965504,1
0.859023,-9.961321,-0.051446,1
-1.372284,-9.564113,-0.589831,1
0.891326,-10.52244,-0.655633,1
2.517249,-10.58346,0.949951,1
0.687937,-10.51167,-0.915255,1
-0.254836,-10.23889,-1.024128,1
-0.403191,-9.956535,-0.81356,1
1.044467,-6.780063,2.486143,1
2.811567,-10.92443,-0.387637,1
1.395016,-9.561719,-1.538585,1
-0.935594,-9.366704,-0.329013,1
0.480957,-10.50569,0.2668,1
1.934597,-10.07259,0.850649,1
0.899701,-9.970892,-1.308874,1
0.179462,-9.41456,-2.007578,1
-0.604188,-9.493524,-0.301496,1
0.635294,-5.977271,2.90369,1
2.212165,-10.04387,-1.202393,1
0.719043,-8.539985,-2.158326,1
-1.759921,-8.717052,-0.472582,1
0.351745,-10.02832,0.515653,1
0.745364,-11.17089,0.713061,1
-0.171087,-10.15155,-1.441676,1
-0.187837,-9.836893,-2.050649,1
-0.685544,-9.609575,-0.745364,1
-1.138984,-7.477571,2.419144,1
2.227718,-9.034101,-0.649651,1
-2.017149,-9.890733,-2.56032,1
-2.414358,-8.327023,-0.138784,1
0.51326,-11.32284,0.288335,1
-1.197608,-10.12523,-0.069392,1
-1.20359,-10.50329,-1.805385,1
-0.374477,-9.935,-1.652244,1
-1.182054,-9.739985,0.004786,1
-1.800599,-8.209774,1.721636,1
1.438086,-9.876375,-0.235693,1
-1.21675,-9.927821,-2.711068,1
-1.089931,-8.786446,-0.143569,1
-0.759721,-11.16491,-0.558724,1
-0.495314,-9.625129,0.262014,1
-0.7669,-10.8359,-1.452443,1
-0.547956,-10.2688,-0.756132,1
-1.497907,-9.79143,0.088534,1
0.258425,-7.314859,2.121237,1
1.56371,-11.15534,-0.224925,1
0.84347,-8.152347,-1.931008,1
-1.533799,-9.448061,-0.260818,1
-0.214158,-9.395419,0.187837,1
1.520639,-10.21975,0.533599,1
-0.480957,-10.1671,-0.482154,1
-0.75015,-10.27239,-0.425922,1
-1.29691,-9.65145,-0.09332,1
0.76331,-7.418947,2.84387,1
1.318445,-10.94357,0.088534,1
0.951147,-8.572288,-1.241875,1
-2.132005,-9.750751,-0.154337,1
0.80997,-10.05464,0.094517,1
1.307678,-9.710074,0.831506,1
-1.39023,-10.18625,-0.982254,1
-0.879362,-10.69352,-0.344566,1
-0.430708,-10.43869,0.254836,1
-0.017946,-8.770891,2.768496,1
2.426322,-9.462417,0.258425,1
0.09332,-10.29392,-1.300499,1
-1.776671,-8.801998,-0.492921,1
1.087538,-11.77149,0.937986,1
0.70349,-10.34298,1.32682,1
-1.141376,-10.55594,-1.119841,1
0.467797,-10.34298,-1.410569,1
-0.31346,-10.74138,-0.133998,1
-1.12343,-8.924032,2.531606,1
3.006582,-9.517452,-0.117248,1
-0.997807,-10.8694,-2.112862,1
-0.349352,-8.606983,-0.29671,1
0.751346,-12.37807,0.398405,1
0.618545,-10.66481,0.398405,1
-0.019143,-10.64806,-0.893719,1
1.178465,-11.09313,-1.898705,1
-0.384048,-10.57628,-0.874577,1
0.112463,-7.709675,1.561317,1
2.260021,-10.45544,-0.004786,1
-0.757328,-10.07019,-1.72044,1
