accel_x,accel_y,accel_z,label
-0.223729,-10.97109,-4.453043,2
-2.538785,-10.45424,-1.759921,2
-1.366302,-11.12663,0.629312,2
1.219143,-9.802198,3.096313,2
-0.64008,-11.5023,-0.952343,2
-2.036292,-10.81915,-4.576273,2
0.25005,-9.65504,-0.413958,2
2.04706,-8.355738,4.06062,2
2.087738,-9.361919,1.227518,2
-0.844666,-10.89572,-4.771288,2
-0.853041,-8.130812,-1.989632,2
2.585445,-9.470792,1.97049,2
1.397408,-9.501899,1.342373,2
-0.727418,-9.682557,-0.649651,2
-1.306481,-9.353544,-3.946961,2
0.014357,-8.29472,0.604188,2
1.459622,-8.59143,3.111866,2
1.988436,-9.243474,0.026321,2
-1.616352,-10.88974,-4.4674,2
-1.32682,-8.257631,-2.422733,2
1.476372,-9.702895,2.754139,2
1.159323,-11.5681,0.047856,2
-1.252643,-10.40639,-1.56012,2
-1.79701,-9.962517,-2.240878,2
-0.534796,-9.766306,1.447658,2
0.683151,-9.978071,3.275774,2
1.713261,-10.64567,-2.603391,2
-2.677569,-11.02015,-2.867798,2
-0.235693,-9.327223,-2.038685,2
-0.45344,-11.92942,3.469593,2
0.62692,-12.13759,-0.476172,2
0.492921,-11.21157,-3.820141,2
0.192622,-10.12523,-1.874776,2
0.747757,-8.764909,3.061616,2
1.503889,-8.902497,2.644069,2
1.499103,-11.38744,-3.538985,2
-2.191825,-10.15753,-2.12363,2
1.348356,-8.477771,-0.954736,2
0.690329,-11.83131,3.399004,2
1.773082,-11.65783,-1.067199,2
0.965504,-10.38964,-4.113262,2
0.650848,-9.056834,-2.248057,2
1.082752,-7.753942,2.847459,2
2.459822,-8.465807,2.971886,2
1.332802,-10.62652,-3.274578,2
-1.689333,-9.65145,-1.915455,2
1.402194,-7.739585,-1.336391,2
1.318445,-11.34796,4.146762,2
1.351945,-11.25225,-1.65703,2
0.246461,-10.19582,-3.309274,2
0.285942,-9.482756,-2.197808,2
1.024128,-7.274181,3.652644,2
2.395216,-8.500502,2.100899,2
0.144766,-9.913465,-2.633301,2
-2.401197,-9.605987,-2.203789,2
0.325424,-7.427322,-0.613759,2
1.281357,-11.5693,3.891926,2
0.599402,-10.62652,-1.935793,2
-0.948754,-9.878769,-3.471986,2
-0.32662,-9.605987,-2.685944,2
0.267996,-7.149755,3.620341,2
1.064806,-7.758727,1.887937,2
-0.358923,-9.985249,-2.657229,2
-2.226521,-8.967103,-3.460021,2
-0.003589,-8.172686,0.003589,2
0.147159,-11.34796,2.417947,2
0.195015,-10.24248,-1.722832,2
